Au_pd _ on Au,Au_pd _ on Au,Au_pd _ on Au,Au_pd _ on Au,Au_NP on 1ML PD,Au_NP on 1ML PD,Au_NP on 1ML PD,Au_NP on 1ML PD,Au_NP on Au,Au_NP on Au,Au_NP on Au,Au_NP on Au
laser power 0.05 mW,laser power 0.1 mW,laser power 0.15mW,laser power 0.2mW,laser power 0.05 mW,laser power 0.1 mW,laser power 0.15 mW,laser power 0.20 mW,laser power 0.05 mW,laser power 0.1 mW,laser power 0.15 mW,laser power 0.2mW
230.1738, 228.93344, 231.87318, 234.04929, 222.85445, 222.10417, 222.89613, 222.89613, 231.99875, 231.63045, 229.96898, 231.78513
232.30145, 231.05824, 233.99611, 236.15833, 225.01591, 224.28209, 225.05942, 225.05942, 234.11955, 233.75575, 232.10971, 233.90976
234.42862, 233.18257, 236.11855, 238.26691, 227.17683, 226.45943, 227.22215, 227.22215, 236.2399, 235.88057, 234.24992, 236.03391
236.5553, 235.3064, 238.24049, 240.37505, 229.33719, 228.63615, 229.38432, 229.38432, 238.35976, 238.00488, 236.38962, 238.15756
238.68147, 237.42975, 240.36195, 242.48271, 231.49699, 230.8123, 231.54594, 231.54594, 240.47916, 240.12872, 238.52878, 240.28072
240.80717, 239.5526, 242.48293, 244.58994, 233.65625, 232.98785, 233.70702, 233.70702, 242.59807, 242.25208, 240.6674, 242.40338
242.93239, 241.67497, 244.60342, 246.69672, 235.81494, 235.16281, 235.86752, 235.86752, 244.71651, 244.37494, 242.80551, 244.52556
245.0571, 243.79684, 246.72343, 248.80302, 237.97308, 237.33717, 238.02748, 238.02748, 246.83447, 246.49731, 244.94308, 246.64725
247.18134, 245.91824, 248.84297, 250.90889, 240.13066, 239.51094, 240.18689, 240.18689, 248.95197, 248.61919, 247.08014, 248.76843
249.30507, 248.03914, 250.96201, 253.0143, 242.28769, 241.68411, 242.34573, 242.34573, 251.06898, 250.74059, 249.21666, 250.88913
251.42831, 250.15956, 253.08057, 255.11926, 244.44417, 243.85669, 244.50403, 244.50403, 253.18552, 252.8615, 251.35266, 253.00934
253.55107, 252.2795, 255.19864, 257.22375, 246.60008, 246.02867, 246.66177, 246.66177, 255.30159, 254.9819, 253.48813, 255.12906
255.67334, 254.39893, 257.31622, 259.32782, 248.75543, 248.20007, 248.81895, 248.81895, 257.41718, 257.10184, 255.62308, 257.24829
257.7951, 256.51788, 259.43335, 261.4314, 250.91023, 250.37086, 250.97559, 250.97559, 259.53229, 259.22128, 257.75751, 259.367
259.91641, 258.63635, 261.54996, 263.53455, 253.06448, 252.54108, 253.13167, 253.13167, 261.64694, 261.34021, 259.89139, 261.48526
262.0372, 260.75433, 263.66611, 265.63724, 255.21817, 254.71068, 255.28719, 255.28719, 263.76111, 263.45868, 262.02475, 263.603
264.1575, 262.87183, 265.78177, 267.73947, 257.37131, 256.8797, 257.44214, 257.44214, 265.87479, 265.57666, 264.15759, 265.72025
266.27734, 264.98883, 267.89694, 269.84125, 259.5239, 259.04813, 259.59656, 259.59656, 267.98801, 267.69412, 266.28992, 267.83701
268.39667, 267.10532, 270.01163, 271.9426, 261.6759, 261.21597, 261.75043, 261.75043, 270.10077, 269.81113, 268.42169, 269.95328
270.5155, 269.22134, 272.12582, 274.04346, 263.82739, 263.38321, 263.90372, 263.90372, 272.21304, 271.92764, 270.55295, 272.06906
272.63385, 271.33688, 274.23953, 276.14389, 265.9783, 265.54984, 266.05646, 266.05646, 274.32483, 274.04364, 272.68369, 274.18433
274.75171, 273.45193, 276.35278, 278.24387, 268.12866, 267.71588, 268.20868, 268.20868, 276.43616, 276.15918, 274.8139, 276.29913
276.86908, 275.5665, 278.46552, 280.34338, 270.27844, 269.88135, 270.36029, 270.36029, 278.547, 278.27423, 276.94357, 278.41342
278.98596, 277.68057, 280.57779, 282.44244, 272.4277, 272.0462, 272.51138, 272.51138, 280.65735, 280.38876, 279.07272, 280.52722
281.10236, 279.79416, 282.68958, 284.54105, 274.57639, 274.21048, 274.66193, 274.66193, 282.76724, 282.50284, 281.20135, 282.64056
283.21826, 281.90726, 284.80087, 286.63919, 276.72452, 276.37415, 276.81189, 276.81189, 284.87668, 284.61639, 283.32947, 284.75339
